y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.780066763050854	0.780066763050854	1 0.780066763050854	X1<0.780067	1	1
-25.2	1.2	0.783065955736674	0.783065955736674	1 0.783065955736674	X1<0.783066	1	1
-25.2	1.2	0.790082178777084	0.790082178777084	1 0.790082178777084	X1<0.790082	1	1
-25.2	1.2	0.794574634172022	0.794574634172022	1 0.794574634172022	X1<0.794575	1	1
-25.2	1.2	0.802527984022163	0.802527984022163	1 0.802527984022163	X1<0.802528	1	1
-25.2	1.2	0.810294703580439	0.810294703580439	1 0.810294703580439	X1<0.810295	1	1
-25.2	1.2	0.811128479079343	0.811128479079343	1 0.811128479079343	X1<0.811128	1	1
-25.2	1.2	0.812777684652247	0.812777684652247	1 0.812777684652247	X1<0.812778	1	1
-25.2	1.2	0.815746196662076	0.815746196662076	1 0.815746196662076	X1<0.815746	1	1
-25.2	1.2	0.821562366443686	0.821562366443686	1 0.821562366443686	X1<0.821562	1	1
-25.2	1.2	0.82712506945245	0.82712506945245	1 0.82712506945245	X1<0.827125	1	1
-25.2	1.2	0.831185470568016	0.831185470568016	1 0.831185470568016	X1<0.831185	1	1
-25.2	1.2	0.835168996243738	0.835168996243738	1 0.835168996243738	X1<0.835169	1	1
-25.2	1.2	0.837000492843799	0.837000492843799	1 0.837000492843799	X1<0.837000	1	1
-25.2	1.2	0.838741493294947	0.838741493294947	1 0.838741493294947	X1<0.838741	1	1
-25.2	1.2	0.842400090419687	0.842400090419687	1 0.842400090419687	X1<0.842400	1	1
-25.2	1.2	0.848988728015684	0.848988728015684	1 0.848988728015684	X1<0.848989	1	1
-25.2	1.2	0.853634609957226	0.853634609957226	1 0.853634609957226	X1<0.853635	1	1
-25.2	1.2	0.855122883920558	0.855122883920558	1 0.855122883920558	X1<0.855123	1	1
-25.2	1.2	0.857799059362151	0.857799059362151	1 0.857799059362151	X1<0.857799	1	1
-25.2	1.2	0.863458890118636	0.863458890118636	1 0.863458890118636	X1<0.863459	1	1
-25.2	1.2	0.868352849618532	0.868352849618532	1 0.868352849618532	X1<0.868353	1	1
